Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NEWR,"New Relic, Inc.",76.16,4337922803,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/newr
NXGN,"NextGen Healthcare, Inc.",15.88,1026934732,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nxgn
NICE,NICE Ltd,110.54,4651086788,42076052,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/nice
LASR,"nLIGHT, Inc.",18.57,646259918.2,n/a,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/lasr
NOK,Nokia Corporation,5.53," $30,921,852,813.60 ",n/a,1994,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/nok
NUAN,"Nuance Communications, Inc.",16.16,4647312144,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nuan
NTNX,"Nutanix, Inc.",39.35,7033411602,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntnx
NVEC,NVE Corporation,88.43,428355804.3,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/nvec
NVT,nVent Electric plc,24.6,4404328945,n/a,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nvt
NVDA,NVIDIA Corporation,144.55," $88,175,500,000.00 ",n/a,1999,Technology,Semiconductors,https://www.nasdaq.com/symbol/nvda
NXPI,NXP Semiconductors N.V.,83.14,24568016243,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/nxpi
OIIM,O2Micro International Limited,1.6,53397587.2,33373492,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/oiim
OCLR,"Oclaro, Inc.",7.53,1292216425,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/oclr
OKTA,"Okta, Inc.",51.685,5643121804,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/okta
